Charotar University of Science and Technology (CHARUSAT),Charotar University of Science and Technology (CHARUSAT),https://hackday.mlh.io/CHARUSAT University
E. W. Thurston Middle School,"850 High Street, Westwood, MA, United States",https://hackday.mlh.io/localhackday-westwood
Guatemala,"Facultad de Ingeniería, Salones 013 y 014, Edificio T3, Campus Central USAC, Zona 12. Guatemala",https://hackday.mlh.io/localhackday-318e
CAW Student Centre,"CAW Student Centre, Windsor, ON, Canada",https://hackday.mlh.io/University of Windsor
Student Activity Center,"2201 Speedway, Austin, TX 78712",https://lhd.freetailhackers.com
Lancaster University,"Room B69, Faculty of Science and Technology, Fylde Avenue, Lancaster, LA1 4YR, United Kingdom",https://hackday.mlh.io/localhackday-79e9
TBD,TBD,https://hackday.mlh.io/localhackday-e470
"Seminar Hall Oriental College Of Technology,Bhopal","Oriental Group Of College,Seminar Hall Oriental College Of Technology,Bhopal","https://hackday.mlh.io/Oriental College Of Technology,Bhopal"
Fulton Hall,"Fulton Hall, Chestnut Hill, Newton, MA 02467, United States",https://hackday.mlh.io/Boston College
Farmingdale State College,"2350 Broadhollow Rd, Farmingdale, NY 11735, United States",https://hackday.mlh.io/localhackday-0026
Instituto Tecnolgico de Puebla," Avenida Tecnolgico 420, Maravillas, 72220 Puebla, Pue.",https://hackday.mlh.io/localhackday-b868
Devon Energy Hall,,https://hackday.mlh.io/University of Oklahoma
MC125,"MC125, McCrea Building, Royal Holloway, TW20 0LL",https://hackday.mlh.io/rhul
Pray-Harrold,"Pray-Harrold, East Circle Drive, Ypsilanti, MI, United States",https://hackday.mlh.io/emu
Penn State Behrend,"Burke Center 242, 5101 Jordan Rd, Erie, PA 16563",https://hackday.mlh.io/localhackday-57df
201 S Grant Ave,"201 South Grant Avenue, Columbus, OH, United States",https://hackday.mlh.io/localhackday-ee45
Brewster High School,"51 Foggintown Road, Brewster, NY, United States",https://hackday.mlh.io/Brewster High School
ITESM MTY: Pabellon La Carreta,"Eugenio Garza Sada 2501, 64849 Monterrey, N.L., México",https://hackday.mlh.io/localhackday-615f
Local Pri-Hack,Bulevardi i Deshmoreve Prishtine-Bibloteka Kombetare,https://hackday.mlh.io/localhackday-fc6b
BUE,"Suez Rd, EL SHEROUK CITY، Cairo Governorate 11837",https://hackday.mlh.io/bue
"S-1.27, Strand Campus, King's College London","S-1.27, Strand Campus, King's College London, Strand, London WC2R 2LS",https://hackday.mlh.io/kingscollegelondon
Aristotle University of Thessaloniki,"Aristotle University of Thessaloniki, Thessaloniki, Greece",https://hackday.mlh.io/ieeeauthsb
College of Business Administration (Bldg 162),"3801 West Temple Avenue, Pomona, CA, United States",https://hackday.mlh.io/localhackday-044b
Bandwidth Barn (Pty) Ltd,"Bandwidth Barn (Pty) Ltd, Albert Road, Cape Town, South Africa",https://hackday.mlh.io/localhackday-e5c3
"Mathematics, Statistics and Computer Science - Room 203W","Math Sciences, Stillwater, OK, United States",https://hackday.mlh.io/localhackday-9cad
Willcox hall: Friedman Multipurpose Room,Willcox hall: Friedman Multipurpose Room,https://hackday.mlh.io/Pace University Pleasantville Campus
Oxford Academy,"5172 Orange Avenue, Cypress, CA, United States",https://hackday.mlh.io/localhackday-c1fe
"University at Buffalo, Knox 20","University at Buffalo, 20 Knox Hall, Buffalo, NY 14260",https://hackday.mlh.io/University at Buffalo
Instituto Tecnolgico de Morelia,"Avenida Tecnolgico 1500, Lomas de Santiaguito, 58120 Morelia, Mich.Mxico",https://hackday.mlh.io/localhackday-a3d2
Curris Center,"Curris Center, Cs-1075, Murray, KY 42071, United States",https://hackday.mlh.io/murraystate
Adi Shankara Institute of Engineering and Technology,"Adi Shankara Institute of Engineering and Technology, Mattoor, Kalady, Kerala, India",https://hackday.mlh.io/localhackdayadi
Larry Sears and Sally Zlotnick Sears think[box],"11201 Cedar Avenue, Cleveland, OH, United States",https://hackday.mlh.io/localhackday-8d49
GoMyCode,"GoMyCode Hackerspace, 2nd floor, NEO Building, Lac Lochness Street, Lac 1, Tunis, Tunisia ",https://hackday.mlh.io/gomycode
,CardinalCon,https://hackday.mlh.io/Saginaw Valley State University
MP Primary & ZP High School by Cyient Foundation," Gachibowli - Miyapur Rd, Chhota Anjaiah Nagar, Gachibowli, Hyderabad, Telangana 500032",https://hackday.mlh.io/localhackday-0292
1033 Springfield Ave,"1033 Springfield Avenue, Cranford, NJ, United States",https://hackday.mlh.io/localhackday-3a96
Divergence Academy,"14683 Midway Road, Ste. 145 Addison, TX  75001",https://hackday.mlh.io/localhackday-divergence
"Goldsmiths, University of London","Goldsmiths, University of London, New Cross, London, SE14 6NW","https://hackday.mlh.io/Goldsmiths, University of London"
Spotify HQ,"Spotify AB, Birger Jarlsgatan 61, 113 56 Stockholm, Sweden",https://hackday.mlh.io/localhackday-828b
Meshel Hall,"Meshel Hall, 422 Wick Ave, Youngstown, OH 44503",https://hackday.mlh.io/YSU
WPI Atwater Kent 219,"WPI, Atwater Kent Room 219",https://hackday.mlh.io/localhackday-00bd
Universit Abou Bekr Belkaid le Chetouane,"Universit Abou Bekr Belkaid le Chetouane, Chetouane, Algrie",https://hackday.mlh.io/localhackday-f3f4
Startup Depot,"Vesniana Street, 4, Lviv, Lviv region, Ukraine, 79000",https://hackday.mlh.io/Startup Depot
#REF!,"2830 Rutford Ave, Richardson, TX, United States",
Belhaven University,"1500 Peachtree Street, Jackson, MS, United States",
The Cave (Hill Center Room 252),"110 Frelinghuysen Rd, Piscataway Township, NJ 08854, United States",
Hack Volusia,Hack Volusia,https://hackday.mlh.io/UCF Business Incubator
Centennial Collegiate Vocational Institute,Centennial Collegiate Vocational Institute,https://hackday.mlh.io/spartahacks2
New Olin Hall,New Olin Hall,https://hackday.mlh.io/Rose-Hulman Institute of Technology
Computing Science Centre at University of Alberta,"8900 114 St NW, Edmonton, AB, Canada",https://
Informatics @ NKU,"Griffin Hall, Northern Kentucky University",https://hackday.mlh.io/localhackday-dbb1
Engineering Common Room - McGill University,"3480 Rue University, Montréal, QC H3A 0E9",https://hackday.mlh.io/localhackday-2aab
Coding Dojo Seattle,"10777 Main Street, Bellevue, WA, United States",https://hackday.mlh.io/localhackday-59e8
SKIT Jaipur,"CSE main block, Swami Keshvanand Institute of Technology Management & Gramothan, jaipur",https://hackday.mlh.io/localhackday-6a3a
TR10 building ESEIAAT Faculty,TR10 building ESEIAAT Faculty,https://hackday.mlh.io/hackseiaat
#N/A,"Hugh Dempster Pavilion, 6245 Agronomy Rd, Vancouver, BC V6T 1Z4, Canada",
Patio Room,"Patio Room, Queens, NY, United States","https://hackday.mlh.io/Queens College, CUNY, New York City"
704 J St,"704 J Street, San Diego, CA, United States",https://hackday.mlh.io/learnacademy
Postlight Studios,Postlight Studios,https://hackday.mlh.io/Postlight Studios
Silverstone UTC,"Silverstone UTC, Silverstone Circuit, Silverstone, United Kingdom",https://hackday.mlh.io/SilverstoneUTC
New Classroom Building,"1455 Perry St, Blacksburg, VA 24060, United States",https://hackday.mlh.io/localhackday-0447
#N/A,"Av. Catalunya, 35, Tarragona, España",
Galvanize,"515 East Grant Street, Phoenix, AZ, United States",https://hackday.mlh.io/localhackday-6410
Idea Forge,Idea Forge,https://hackday.mlh.io/University of Colorado Boulder
Caolan McKendry,"16 Shelton Road, Armoy",https://hackday.mlh.io/localhackday-6a72
"Avery Hall, UNL -- Rooms 347 and 348","1144 T St, Lincoln, NE 68588",https://hackday.mlh.io/localhackdayUNL
Featheringill Hall Room 134,"400 24th Ave S, Nashville, TN 37212",https://hackday.mlh.io/localhackday-6db0
